match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-04-06,DIGNITAS,HELLRAISERS,2,0,1446.9404478969386,1468.4175615894767
2016-04-07,DIGNITAS,ENVY,16,7,1463.6699415962537,1446.0626986625934
2016-04-07,AGG,GAMBIT,0,2,1467.4088749999128,1515.1997666016835
2016-04-07,GAMBIT,HELLRAISERS,2,0,1529.058292913441,1454.5590352777192
2016-04-07,NIP,FLIPSID3,16,8,1548.7359860079484,1408.2308330726253
2016-04-07,FLIPSID3,NIP,4,16,1398.3702389986033,1558.5965800819704
2016-04-07,GAMBIT,E-FRAG.NET,0,2,1509.2052264944205,1463.5669838341798
2016-04-07,ENVY,DIGNITAS,14,16,1430.8728487325734,1478.8597915262737
2016-04-08,MOUSESPORTS,HELLRAISERS,3,2,1464.383237348836,1438.260935783219
2016-04-09,G2,GAMBIT,3,0,1501.2867138638385,1492.0526604769532
2016-04-10,ASTRALIS,MOUSESPORTS,2,1,1599.0439173222808,1453.8688832443493
2016-04-10,VIRTUS.PRO,DIGNITAS,1,2,1415.8244094496574,1492.6050021251053
2016-04-10,ENVY,G2,2,1,1450.071847880135,1482.0877147162769
2016-04-10,DIGNITAS,FLIPSID3,2,1,1504.3687065923725,1386.6065345313361
2016-04-11,GAMBIT,AGG,2,1,1506.9196716529,1452.541863823966
2016-04-12,VIRTUS.PRO,FAZE,16,8,1430.5964159188168,1374.334318644242
2016-04-12,ENVY,TEMPO STORM,14,16,1435.9639128234587,1505.458588564862
2016-04-12,G2,CLG,2,16,1464.4779877029646,1464.6240053731005
2016-04-12,NIP,DIGNITAS,2,16,1540.1193774038516,1522.8459092704913
2016-04-12,LIQUID,MOUSESPORTS,13,16,1551.7423652123355,1475.1507124104908
2016-04-13,VIRTUS.PRO,TEMPO STORM,16,9,1449.9915654040879,1486.063439079591
2016-04-13,LUMINOSITY,MOUSESPORTS,7,16,1619.786484174683,1498.3291022920807
2016-04-13,ASTRALIS,DIGNITAS,9,16,1579.59006850203,1542.2997580907422
2016-04-13,FAZE,ENVY,12,16,1361.1430686909416,1449.1551627767592
2016-04-14,ENVY,TEMPO STORM,2,0,1466.8484868181947,1468.3701150381555
2016-04-14,NIP,ASTRALIS,2,1,1557.9292901840602,1561.7801557218213
2016-04-16,DIGNITAS,ENVY,0,2,1522.8787105047238,1486.2695344042131
2016-04-16,NIP,VIRTUS.PRO,2,0,1569.1125499166276,1438.8083056715204
2016-04-17,NAVI,ENVY,2,0,1677.8740261772148,1478.0074948282663
